order_id,product_id,quantity,unit_price,cost,total,profit
O00001,P022,3,5060.0,3036.0,15180.0,6072.0
O00001,P013,2,1910.0,859.5,3820.0,2101.0
O00002,P014,3,3580.0,1611.0,10740.0,5907.0
O00003,P009,3,810.0,364.5,2430.0,1336.5
O00003,P037,1,2340.0,1521.0,2340.0,819.0
O00003,P036,2,1640.0,1066.0,3280.0,1148.0
O00004,P033,2,920.0,598.0,1840.0,644.0
O00004,P008,3,13730.0,11258.6,41190.0,7414.2
O00005,P007,3,12200.0,10004.0,36600.0,6588.0
O00006,P030,2,430.0,301.0,860.0,258.0
O00007,P027,1,920.0,644.0,920.0,276.0
O00008,P028,1,170.0,119.0,170.0,51.0
O00008,P009,1,810.0,364.5,810.0,445.5
O00009,P018,2,1660.0,996.0,3320.0,1328.0
O00009,P036,2,1640.0,1066.0,3280.0,1148.0
O00010,P005,3,6010.0,4928.2,18030.0,3245.4
O00011,P036,2,1640.0,1066.0,3280.0,1148.0
O00012,P021,2,5000.0,3000.0,10000.0,4000.0
O00012,P017,1,1790.0,1074.0,1790.0,716.0
O00013,P002,3,13650.0,11193.0,40950.0,7371.0
O00013,P026,1,590.0,413.0,590.0,177.0
O00013,P019,3,1400.0,840.0,4200.0,1680.0
O00014,P017,3,1790.0,1074.0,5370.0,2148.0
O00014,P021,1,5000.0,3000.0,5000.0,2000.0
O00014,P037,3,2340.0,1521.0,7020.0,2457.0
O00015,P006,3,14630.0,11996.6,43890.0,7900.2
O00016,P020,3,7480.0,4488.0,22440.0,8976.0
O00016,P005,1,6010.0,4928.2,6010.0,1081.8
O00017,P008,1,13730.0,11258.6,13730.0,2471.4
O00017,P003,2,6240.0,5116.8,12480.0,2246.4
O00018,P010,2,1150.0,517.5,2300.0,1265.0
O00019,P004,3,4620.0,3788.4,13860.0,2494.8
O00020,P020,3,7480.0,4488.0,22440.0,8976.0
O00021,P009,1,810.0,364.5,810.0,445.5
O00021,P011,2,2510.0,1129.5,5020.0,2761.0
O00022,P003,3,6240.0,5116.8,18720.0,3369.6
O00022,P018,2,1660.0,996.0,3320.0,1328.0
O00023,P036,3,1640.0,1066.0,4920.0,1722.0
O00024,P021,1,5000.0,3000.0,5000.0,2000.0
O00025,P031,1,300.0,210.0,300.0,90.0
O00026,P017,3,1790.0,1074.0,5370.0,2148.0
O00027,P010,3,1150.0,517.5,3450.0,1897.5
O00027,P005,2,6010.0,4928.2,12020.0,2163.6
O00028,P007,3,12200.0,10004.0,36600.0,6588.0
O00028,P025,2,360.0,252.0,720.0,216.0
O00029,P028,1,170.0,119.0,170.0,51.0
O00030,P013,1,1910.0,859.5,1910.0,1050.5
O00030,P019,3,1400.0,840.0,4200.0,1680.0
O00031,P014,3,3580.0,1611.0,10740.0,5907.0
O00032,P025,2,360.0,252.0,720.0,216.0
O00032,P036,2,1640.0,1066.0,3280.0,1148.0
O00032,P033,1,920.0,598.0,920.0,322.0
O00033,P018,1,1660.0,996.0,1660.0,664.0
O00034,P022,1,5060.0,3036.0,5060.0,2024.0
O00035,P015,1,2650.0,1192.5,2650.0,1457.5
O00036,P028,3,170.0,119.0,510.0,153.0
O00037,P003,2,6240.0,5116.8,12480.0,2246.4
O00037,P024,2,6760.0,4056.0,13520.0,5408.0
O00038,P001,3,19110.0,15670.2,57330.0,10319.4
O00038,P024,3,6760.0,4056.0,20280.0,8112.0
O00039,P031,2,300.0,210.0,600.0,180.0
O00039,P015,3,2650.0,1192.5,7950.0,4372.5
O00040,P022,3,5060.0,3036.0,15180.0,6072.0
O00040,P014,1,3580.0,1611.0,3580.0,1969.0
O00041,P004,1,4620.0,3788.4,4620.0,831.6
O00041,P007,3,12200.0,10004.0,36600.0,6588.0
O00042,P011,2,2510.0,1129.5,5020.0,2761.0
O00042,P020,2,7480.0,4488.0,14960.0,5984.0
O00043,P015,3,2650.0,1192.5,7950.0,4372.5
O00044,P004,1,4620.0,3788.4,4620.0,831.6
O00044,P008,2,13730.0,11258.6,27460.0,4942.8
O00045,P001,3,19110.0,15670.2,57330.0,10319.4
O00045,P029,2,660.0,462.0,1320.0,396.0
O00045,P034,2,2240.0,1456.0,4480.0,1568.0
O00045,P006,2,14630.0,11996.6,29260.0,5266.8
O00046,P019,1,1400.0,840.0,1400.0,560.0
O00047,P001,1,19110.0,15670.2,19110.0,3439.8
O00048,P035,2,1500.0,975.0,3000.0,1050.0
O00049,P037,3,2340.0,1521.0,7020.0,2457.0
O00050,P007,1,12200.0,10004.0,12200.0,2196.0
O00051,P027,2,920.0,644.0,1840.0,552.0
O00051,P026,3,590.0,413.0,1770.0,531.0
O00052,P028,3,170.0,119.0,510.0,153.0
O00053,P029,3,660.0,462.0,1980.0,594.0
O00054,P007,3,12200.0,10004.0,36600.0,6588.0
O00055,P023,3,3770.0,2262.0,11310.0,4524.0
O00055,P013,2,1910.0,859.5,3820.0,2101.0
O00056,P024,3,6760.0,4056.0,20280.0,8112.0
O00057,P014,1,3580.0,1611.0,3580.0,1969.0
O00057,P008,2,13730.0,11258.6,27460.0,4942.8
O00057,P006,1,14630.0,11996.6,14630.0,2633.4
O00058,P014,1,3580.0,1611.0,3580.0,1969.0
O00058,P015,1,2650.0,1192.5,2650.0,1457.5
O00059,P033,2,920.0,598.0,1840.0,644.0
O00059,P029,1,660.0,462.0,660.0,198.0
O00060,P009,2,810.0,364.5,1620.0,891.0
O00060,P002,2,13650.0,11193.0,27300.0,4914.0
O00061,P017,2,1790.0,1074.0,3580.0,1432.0
O00061,P005,1,6010.0,4928.2,6010.0,1081.8
O00061,P018,2,1660.0,996.0,3320.0,1328.0
O00062,P028,1,170.0,119.0,170.0,51.0
O00063,P007,2,12200.0,10004.0,24400.0,4392.0
O00064,P011,1,2510.0,1129.5,2510.0,1380.5
O00064,P016,3,1230.0,553.5,3690.0,2029.5
O00065,P006,2,14630.0,11996.6,29260.0,5266.8
O00066,P019,2,1400.0,840.0,2800.0,1120.0
O00067,P004,3,4620.0,3788.4,13860.0,2494.8
O00068,P035,1,1500.0,975.0,1500.0,525.0
O00069,P024,2,6760.0,4056.0,13520.0,5408.0
O00070,P024,3,6760.0,4056.0,20280.0,8112.0
O00071,P031,3,300.0,210.0,900.0,270.0
O00072,P018,2,1660.0,996.0,3320.0,1328.0
O00073,P037,3,2340.0,1521.0,7020.0,2457.0
O00073,P016,2,1230.0,553.5,2460.0,1353.0
O00073,P021,2,5000.0,3000.0,10000.0,4000.0
O00074,P016,3,1230.0,553.5,3690.0,2029.5
O00075,P007,2,12200.0,10004.0,24400.0,4392.0
O00075,P035,2,1500.0,975.0,3000.0,1050.0
O00075,P006,1,14630.0,11996.6,14630.0,2633.4
O00075,P004,2,4620.0,3788.4,9240.0,1663.2
O00076,P037,1,2340.0,1521.0,2340.0,819.0
O00076,P009,1,810.0,364.5,810.0,445.5
O00077,P033,2,920.0,598.0,1840.0,644.0
O00078,P016,3,1230.0,553.5,3690.0,2029.5
O00079,P005,2,6010.0,4928.2,12020.0,2163.6
O00079,P035,2,1500.0,975.0,3000.0,1050.0
O00080,P020,3,7480.0,4488.0,22440.0,8976.0
O00080,P028,1,170.0,119.0,170.0,51.0
O00080,P018,2,1660.0,996.0,3320.0,1328.0
O00081,P020,3,7480.0,4488.0,22440.0,8976.0
O00081,P012,2,670.0,301.5,1340.0,737.0
O00081,P032,3,860.0,559.0,2580.0,903.0
O00082,P008,3,13730.0,11258.6,41190.0,7414.2
O00083,P035,1,1500.0,975.0,1500.0,525.0
O00083,P007,3,12200.0,10004.0,36600.0,6588.0
O00084,P008,3,13730.0,11258.6,41190.0,7414.2
O00084,P002,1,13650.0,11193.0,13650.0,2457.0
O00085,P007,3,12200.0,10004.0,36600.0,6588.0
O00085,P031,2,300.0,210.0,600.0,180.0
O00086,P012,3,670.0,301.5,2010.0,1105.5
O00087,P014,1,3580.0,1611.0,3580.0,1969.0
O00087,P009,3,810.0,364.5,2430.0,1336.5
O00088,P002,2,13650.0,11193.0,27300.0,4914.0
O00089,P037,2,2340.0,1521.0,4680.0,1638.0
O00089,P015,1,2650.0,1192.5,2650.0,1457.5
O00089,P026,3,590.0,413.0,1770.0,531.0
O00090,P031,2,300.0,210.0,600.0,180.0
O00090,P017,1,1790.0,1074.0,1790.0,716.0
O00091,P024,1,6760.0,4056.0,6760.0,2704.0
O00092,P036,1,1640.0,1066.0,1640.0,574.0
O00092,P037,1,2340.0,1521.0,2340.0,819.0
O00093,P010,1,1150.0,517.5,1150.0,632.5
O00094,P026,1,590.0,413.0,590.0,177.0
O00095,P019,1,1400.0,840.0,1400.0,560.0
O00096,P014,2,3580.0,1611.0,7160.0,3938.0
O00097,P009,1,810.0,364.5,810.0,445.5
O00098,P011,1,2510.0,1129.5,2510.0,1380.5
O00098,P024,2,6760.0,4056.0,13520.0,5408.0
O00099,P020,1,7480.0,4488.0,7480.0,2992.0
O00099,P016,2,1230.0,553.5,2460.0,1353.0
O00100,P032,3,860.0,559.0,2580.0,903.0
O00101,P023,1,3770.0,2262.0,3770.0,1508.0
O00102,P013,3,1910.0,859.5,5730.0,3151.5
O00102,P025,3,360.0,252.0,1080.0,324.0
O00103,P004,3,4620.0,3788.4,13860.0,2494.8
O00104,P033,3,920.0,598.0,2760.0,966.0
O00105,P014,2,3580.0,1611.0,7160.0,3938.0
O00105,P035,1,1500.0,975.0,1500.0,525.0
O00106,P015,3,2650.0,1192.5,7950.0,4372.5
O00106,P007,2,12200.0,10004.0,24400.0,4392.0
O00107,P017,3,1790.0,1074.0,5370.0,2148.0
O00108,P036,3,1640.0,1066.0,4920.0,1722.0
O00109,P005,1,6010.0,4928.2,6010.0,1081.8
O00109,P014,2,3580.0,1611.0,7160.0,3938.0
O00109,P002,2,13650.0,11193.0,27300.0,4914.0
O00110,P026,1,590.0,413.0,590.0,177.0
O00111,P012,3,670.0,301.5,2010.0,1105.5
O00111,P021,3,5000.0,3000.0,15000.0,6000.0
O00112,P004,1,4620.0,3788.4,4620.0,831.6
O00113,P031,1,300.0,210.0,300.0,90.0
O00114,P012,2,670.0,301.5,1340.0,737.0
O00114,P034,2,2240.0,1456.0,4480.0,1568.0
O00115,P025,2,360.0,252.0,720.0,216.0
O00115,P001,2,19110.0,15670.2,38220.0,6879.6
O00116,P027,2,920.0,644.0,1840.0,552.0
O00117,P018,2,1660.0,996.0,3320.0,1328.0
O00118,P037,2,2340.0,1521.0,4680.0,1638.0
O00119,P002,3,13650.0,11193.0,40950.0,7371.0
O00120,P004,1,4620.0,3788.4,4620.0,831.6
O00121,P003,1,6240.0,5116.8,6240.0,1123.2
O00121,P014,1,3580.0,1611.0,3580.0,1969.0
O00121,P010,1,1150.0,517.5,1150.0,632.5
O00121,P031,2,300.0,210.0,600.0,180.0
O00122,P008,1,13730.0,11258.6,13730.0,2471.4
O00123,P019,1,1400.0,840.0,1400.0,560.0
O00123,P023,3,3770.0,2262.0,11310.0,4524.0
O00124,P008,2,13730.0,11258.6,27460.0,4942.8
O00125,P031,3,300.0,210.0,900.0,270.0
O00125,P027,1,920.0,644.0,920.0,276.0
O00125,P020,1,7480.0,4488.0,7480.0,2992.0
O00126,P037,2,2340.0,1521.0,4680.0,1638.0
O00126,P012,1,670.0,301.5,670.0,368.5
O00126,P036,3,1640.0,1066.0,4920.0,1722.0
O00126,P023,1,3770.0,2262.0,3770.0,1508.0
O00127,P005,3,6010.0,4928.2,18030.0,3245.4
O00128,P032,1,860.0,559.0,860.0,301.0
O00129,P037,1,2340.0,1521.0,2340.0,819.0
O00129,P036,1,1640.0,1066.0,1640.0,574.0
