order_id,customer_id,order_date,status,payment_method,subtotal,discount,revenue,city,segment
O00001,C0136,2023-12-26,Delivered,UPI,19000.0,228.86,18771.14,Hyderabad,Premium
O00002,C0162,2023-06-22,Delivered,Credit Card,10740.0,1272.09,9467.91,Delhi,VIP
O00003,C0222,2023-10-11,Delivered,Debit Card,8050.0,724.95,7325.05,Bangalore,VIP
O00004,C0411,2024-08-20,Returned,Debit Card,43030.0,4955.21,38074.79,Bangalore,Regular
O00005,C0186,2023-12-20,Delivered,Credit Card,36600.0,6448.15,30151.85,Hyderabad,Premium
O00006,C0226,2023-11-04,Delivered,Debit Card,860.0,93.67,766.33,Mumbai,VIP
O00007,C0221,2023-11-13,Delivered,UPI,920.0,65.86,854.14,Bangalore,Regular
O00008,C0075,2023-12-13,Delivered,UPI,980.0,23.34,956.66,Hyderabad,VIP
O00009,C0250,2024-09-19,Delivered,UPI,6600.0,253.47,6346.53,Bangalore,VIP
O00010,C0281,2024-11-11,Processing,UPI,18030.0,307.96,17722.04,Chennai,Premium
O00011,C0283,2024-12-10,Delivered,UPI,3280.0,206.99,3073.01,Kolkata,VIP
O00012,C0056,2024-09-21,Delivered,Credit Card,11790.0,2029.45,9760.55,Chennai,VIP
O00013,C0197,2023-10-07,Delivered,Wallet,45740.0,8709.77,37030.23,Mumbai,VIP
O00014,C0418,2024-07-19,Delivered,UPI,17390.0,2568.66,14821.34,Mumbai,Regular
O00015,C0149,2023-12-02,Delivered,Credit Card,43890.0,5066.8,38823.2,Delhi,Premium
O00016,C0171,2023-09-01,Returned,Credit Card,28450.0,2373.66,26076.34,Ahmedabad,Premium
O00017,C0412,2024-10-18,Delivered,Wallet,26210.0,2413.18,23796.82,Ahmedabad,VIP
O00018,C0023,2023-02-14,Delivered,Credit Card,2300.0,234.12,2065.88,Mumbai,Premium
O00019,C0477,2024-11-15,Delivered,COD,13860.0,1580.54,12279.46,Delhi,Regular
O00020,C0381,2023-12-13,Delivered,UPI,22440.0,765.04,21674.96,Ahmedabad,Premium
O00021,C0215,2024-06-06,Delivered,UPI,5830.0,145.08,5684.92,Bangalore,VIP
O00022,C0249,2024-07-01,Returned,UPI,22040.0,11.94,22028.06,Delhi,VIP
O00023,C0239,2024-11-12,Delivered,UPI,4920.0,411.65,4508.35,Bangalore,VIP
O00024,C0332,2024-06-05,Delivered,Debit Card,5000.0,915.1,4084.9,Delhi,VIP
O00025,C0267,2024-05-10,Delivered,UPI,300.0,26.32,273.68,Chennai,Regular
O00026,C0366,2023-03-18,Delivered,UPI,5370.0,145.7,5224.3,Pune,VIP
O00027,C0470,2024-01-21,Delivered,Credit Card,15470.0,1820.4,13649.6,Chennai,Premium
O00028,C0029,2023-06-22,Delivered,Credit Card,37320.0,3739.76,33580.24,Ahmedabad,Premium
O00029,C0468,2024-08-20,Delivered,UPI,170.0,0.9,169.1,Delhi,VIP
O00030,C0272,2024-01-14,Delivered,Credit Card,6110.0,964.07,5145.93,Ahmedabad,Regular
O00031,C0285,2024-07-14,Delivered,COD,10740.0,983.36,9756.64,Mumbai,Premium
O00032,C0112,2023-02-17,Delivered,Credit Card,4920.0,214.81,4705.19,Pune,Regular
O00033,C0056,2023-04-08,Delivered,UPI,1660.0,79.46,1580.54,Chennai,VIP
O00034,C0435,2024-08-06,Delivered,Debit Card,5060.0,84.97,4975.03,Chennai,VIP
O00035,C0496,2023-03-25,Delivered,Credit Card,2650.0,399.01,2250.99,Pune,Premium
O00036,C0273,2023-03-24,Delivered,UPI,510.0,0.88,509.12,Ahmedabad,VIP
O00037,C0224,2023-01-14,Delivered,UPI,26000.0,4703.15,21296.85,Chennai,Premium
O00038,C0332,2024-12-10,Returned,UPI,77610.0,438.17,77171.83,Delhi,VIP
O00039,C0287,2024-08-20,Delivered,Credit Card,8550.0,1411.5,7138.5,Delhi,Premium
O00040,C0382,2023-10-25,Delivered,Wallet,18760.0,1026.33,17733.67,Kolkata,Premium
O00041,C0257,2023-09-28,Delivered,COD,41220.0,1702.67,39517.33,Pune,VIP
O00042,C0250,2023-10-23,Returned,UPI,19980.0,1811.26,18168.74,Bangalore,VIP
O00043,C0040,2024-09-13,Delivered,UPI,7950.0,1237.7,6712.3,Bangalore,Regular
O00044,C0117,2024-07-02,Delivered,Credit Card,32080.0,3163.28,28916.72,Delhi,VIP
O00045,C0471,2023-07-18,Returned,UPI,92390.0,11777.92,80612.08,Hyderabad,VIP
O00046,C0186,2023-07-11,Delivered,UPI,1400.0,181.87,1218.13,Hyderabad,Premium
O00047,C0147,2023-04-24,Delivered,Wallet,19110.0,3518.64,15591.36,Bangalore,Premium
O00048,C0283,2024-07-02,Delivered,UPI,3000.0,573.54,2426.46,Kolkata,VIP
O00049,C0243,2024-09-06,Delivered,Wallet,7020.0,1288.31,5731.69,Chennai,Regular
O00050,C0438,2023-09-08,Delivered,Debit Card,12200.0,207.75,11992.25,Ahmedabad,Regular
O00051,C0481,2023-01-25,Delivered,UPI,3610.0,367.87,3242.13,Chennai,Regular
O00052,C0042,2023-04-05,Delivered,Credit Card,510.0,17.88,492.12,Pune,Regular
O00053,C0371,2024-12-16,Delivered,UPI,1980.0,182.01,1797.99,Chennai,Regular
O00054,C0351,2023-09-27,Delivered,UPI,36600.0,1457.83,35142.17,Chennai,Regular
O00055,C0460,2024-09-09,Delivered,Credit Card,15130.0,1827.46,13302.54,Bangalore,Premium
O00056,C0016,2024-05-22,Delivered,Credit Card,20280.0,3936.1,16343.9,Hyderabad,Premium
O00057,C0239,2023-11-07,Delivered,UPI,45670.0,6825.25,38844.75,Bangalore,VIP
O00058,C0347,2023-08-01,Delivered,Credit Card,6230.0,867.67,5362.33,Bangalore,Premium
O00059,C0353,2023-05-20,Delivered,COD,2500.0,185.25,2314.75,Delhi,Regular
O00060,C0470,2024-05-11,Delivered,COD,28920.0,746.51,28173.49,Chennai,Premium
O00061,C0159,2024-09-13,Delivered,UPI,12910.0,178.94,12731.06,Delhi,VIP
O00062,C0140,2024-06-13,Delivered,Net Banking,170.0,27.48,142.52,Delhi,Premium
O00063,C0159,2024-02-04,Delivered,Debit Card,24400.0,3855.84,20544.16,Delhi,VIP
O00064,C0395,2023-02-18,Delivered,UPI,6200.0,1026.2,5173.8,Bangalore,Regular
O00065,C0047,2024-12-16,Delivered,Credit Card,29260.0,3033.2,26226.8,Ahmedabad,Premium
O00066,C0479,2024-09-28,Cancelled,COD,2800.0,435.87,0.0,Delhi,Regular
O00067,C0264,2023-09-25,Returned,UPI,13860.0,35.54,13824.46,Delhi,Premium
O00068,C0070,2024-12-21,Delivered,Debit Card,1500.0,177.41,1322.59,Kolkata,Regular
O00069,C0249,2024-04-26,Delivered,Debit Card,13520.0,488.44,13031.56,Delhi,VIP
O00070,C0015,2024-04-04,Delivered,Credit Card,20280.0,3103.94,17176.06,Ahmedabad,Premium
O00071,C0392,2024-08-27,Delivered,COD,900.0,76.88,823.12,Bangalore,Regular
O00072,C0230,2024-10-05,Delivered,UPI,3320.0,633.26,2686.74,Hyderabad,Regular
O00073,C0066,2024-06-28,Delivered,Debit Card,19480.0,3617.47,15862.53,Mumbai,Premium
O00074,C0458,2023-05-28,Delivered,UPI,3690.0,584.98,3105.02,Ahmedabad,Premium
O00075,C0018,2023-10-18,Cancelled,UPI,51270.0,9339.59,0.0,Ahmedabad,Premium
O00076,C0316,2024-11-27,Delivered,UPI,3150.0,80.07,3069.93,Ahmedabad,Regular
O00077,C0415,2023-08-13,Delivered,COD,1840.0,102.36,1737.64,Bangalore,Regular
O00078,C0149,2023-11-02,Delivered,UPI,3690.0,382.52,3307.48,Delhi,Premium
O00079,C0272,2023-11-30,Delivered,Debit Card,15020.0,2747.24,12272.76,Ahmedabad,Regular
O00080,C0364,2023-12-03,Processing,COD,25930.0,4641.91,21288.09,Mumbai,Regular
O00081,C0059,2024-05-09,Delivered,Credit Card,26360.0,2911.93,23448.07,Bangalore,Premium
O00082,C0332,2024-12-04,Returned,COD,41190.0,6795.01,34394.99,Delhi,VIP
O00083,C0471,2023-08-23,Delivered,Wallet,38100.0,2762.88,35337.12,Hyderabad,VIP
O00084,C0018,2023-05-20,Delivered,Debit Card,54840.0,6795.42,48044.58,Ahmedabad,Premium
O00085,C0263,2023-07-26,Delivered,Credit Card,37200.0,2996.72,34203.28,Hyderabad,VIP
O00086,C0215,2024-11-08,Delivered,UPI,2010.0,28.61,1981.39,Bangalore,VIP
O00087,C0182,2024-06-16,Delivered,Credit Card,6010.0,273.5,5736.5,Pune,Premium
O00088,C0291,2023-09-21,Delivered,UPI,27300.0,4567.95,22732.05,Delhi,VIP
O00089,C0169,2024-10-07,Returned,Wallet,9100.0,916.59,8183.41,Pune,Premium
O00090,C0202,2024-10-28,Delivered,Credit Card,2390.0,306.15,2083.85,Ahmedabad,Regular
O00091,C0064,2024-10-21,Delivered,UPI,6760.0,255.03,6504.97,Delhi,VIP
O00092,C0399,2024-11-23,Delivered,Net Banking,3980.0,304.82,3675.18,Ahmedabad,Premium
O00093,C0282,2023-08-30,Processing,Credit Card,1150.0,213.04,936.96,Chennai,VIP
O00094,C0315,2024-08-31,Delivered,UPI,590.0,60.72,529.28,Bangalore,Regular
O00095,C0275,2023-12-13,Cancelled,UPI,1400.0,14.96,0.0,Delhi,Premium
O00096,C0283,2024-10-19,Returned,Credit Card,7160.0,769.53,6390.47,Kolkata,VIP
O00097,C0189,2024-08-14,Delivered,Debit Card,810.0,148.17,661.83,Pune,Premium
O00098,C0039,2024-09-14,Delivered,Credit Card,16030.0,905.83,15124.17,Delhi,Regular
O00099,C0332,2024-06-28,Delivered,Credit Card,9940.0,1296.7,8643.3,Delhi,VIP
O00100,C0468,2023-07-13,Delivered,UPI,2580.0,95.06,2484.94,Delhi,VIP
O00101,C0202,2024-02-21,Delivered,UPI,3770.0,664.96,3105.04,Ahmedabad,Regular
O00102,C0007,2024-12-23,Delivered,UPI,6810.0,1287.05,5522.95,Hyderabad,VIP
O00103,C0411,2024-12-02,Delivered,UPI,13860.0,1783.99,12076.01,Bangalore,Regular
O00104,C0485,2023-02-19,Delivered,Credit Card,2760.0,366.25,2393.75,Hyderabad,Regular
O00105,C0040,2023-07-05,Delivered,Net Banking,8660.0,1357.81,7302.19,Bangalore,Regular
O00106,C0418,2023-06-01,Delivered,Debit Card,32350.0,5197.11,27152.89,Mumbai,Regular
O00107,C0116,2024-08-13,Delivered,Debit Card,5370.0,291.47,5078.53,Chennai,Regular
O00108,C0220,2024-10-08,Delivered,Debit Card,4920.0,277.98,4642.02,Pune,VIP
O00109,C0255,2023-08-06,Delivered,Credit Card,40470.0,5072.18,35397.82,Delhi,Premium
O00110,C0380,2024-01-06,Delivered,Credit Card,590.0,63.6,526.4,Delhi,Regular
